lat_deg,lon_deg,dose_pred_uSvph
-80.0,-179.99999,3.4410834
-80.0,-170.0,3.4551358
-80.0,-160.0,3.451591
-80.0,-150.0,3.464875
-80.0,-140.0,3.4638176
-80.0,-130.0,3.4449944
-80.0,-120.0,3.4738472
-80.0,-110.0,3.4839058
-80.0,-100.0,3.4683366
-80.0,-90.0,3.4567654
-80.0,-80.0,3.4597049
-80.0,-70.0,3.4853299
-80.0,-60.0,3.4845183
-80.0,-50.0,3.4668555
-80.0,-40.0,3.4866893
-80.0,-30.0,3.4718103
-80.0,-20.0,3.4382212
-80.0,-10.0,3.4604993
-80.0,0.0,3.4704645
-80.0,10.0,3.4655302
-80.0,20.0,3.4492176
-80.0,30.0,3.4774756
-80.0,40.0,3.4674768
-80.0,50.0,3.4614985
-80.0,60.0,3.4478757
-80.0,70.0,3.4428017
-80.0,80.0,3.4494057
-80.0,90.0,3.4555893
-80.0,100.0,3.468294
-80.0,110.0,3.461766
-80.0,120.0,3.439667
-80.0,130.0,3.4322028
-80.0,140.0,3.4677358
-80.0,150.0,3.4827812
-80.0,160.0,3.4245403
-80.0,170.0,3.4487052
-75.0,-179.99999,3.4623172
-75.0,-170.0,3.4598825
-75.0,-160.0,3.4563336
-75.0,-150.0,3.4471357
-75.0,-140.0,3.480587
-75.0,-130.0,3.453572
-75.0,-120.0,3.479683
-75.0,-110.0,3.4854348
-75.0,-100.0,3.4698591
-75.0,-90.0,3.460462
-75.0,-80.0,3.4613624
-75.0,-70.0,3.487513
-75.0,-60.0,3.476315
-75.0,-50.0,3.46504
-75.0,-40.0,3.4868739
-75.0,-30.0,3.4760275
-75.0,-20.0,3.4631753
-75.0,-10.0,3.4877892
-75.0,0.0,3.4978158
-75.0,10.0,3.4928508
-75.0,20.0,3.4730957
-75.0,30.0,3.481797
-75.0,40.0,3.4689426
-75.0,50.0,3.4548612
-75.0,60.0,3.466667
-75.0,70.0,3.4468684
-75.0,80.0,3.4787943
-75.0,90.0,3.4745262
-75.0,100.0,3.4728248
-75.0,110.0,3.4513044
-75.0,120.0,3.4540594
-75.0,130.0,3.4518044
-75.0,140.0,3.4896078
-75.0,150.0,3.4453382
-75.0,160.0,3.4530241
-75.0,170.0,3.4765632
-70.0,-179.99999,3.4698575
-70.0,-170.0,3.4455042
-70.0,-160.0,3.4648948
-70.0,-150.0,3.4513087
-70.0,-140.0,3.4659123
-70.0,-130.0,3.45109
-70.0,-120.0,3.4663975
-70.0,-110.0,3.464685
-70.0,-100.0,3.4550524
-70.0,-90.0,3.445731
-70.0,-80.0,3.4455488
-70.0,-70.0,3.4406493
-70.0,-60.0,3.415542
-70.0,-50.0,3.424387
-70.0,-40.0,3.4572666
-70.0,-30.0,3.4570625
-70.0,-20.0,3.4618096
-70.0,-10.0,3.4834583
-70.0,0.0,3.4934747
-70.0,10.0,3.4885156
-70.0,20.0,3.4822345
-70.0,30.0,3.4762845
-70.0,40.0,3.4642203
-70.0,50.0,3.4531856
-70.0,60.0,3.462779
-70.0,70.0,3.4594324
-70.0,80.0,3.4689417
-70.0,90.0,3.47104
-70.0,100.0,3.469938
-70.0,110.0,3.4509034
-70.0,120.0,3.4619927
-70.0,130.0,3.4640112
-70.0,140.0,3.4645882
-70.0,150.0,3.4263415
-70.0,160.0,3.4687152
-70.0,170.0,3.484109
-65.0,-179.99999,3.464594
-65.0,-170.0,3.4673948
-65.0,-160.0,3.4718957
-65.0,-150.0,3.458289
-65.0,-140.0,3.450638
-65.0,-130.0,3.4352865
-65.0,-120.0,3.4078882
-65.0,-110.0,3.3954318
-65.0,-100.0,3.386616
-65.0,-90.0,3.3299444
-65.0,-80.0,3.2808201
