lat_deg,lon_deg,h_km,dose_uSvph
-80.0,-180.0,12.0,5.4251904
-80.0,-178.0,12.0,5.436178
-80.0,-176.0,12.0,5.398582
-80.0,-174.0,12.0,5.5226717
-80.0,-172.0,12.0,5.531212
-80.0,-170.0,12.0,5.43835
-80.0,-168.0,12.0,5.439497
-80.0,-166.0,12.0,5.4692755
-80.0,-164.0,12.0,5.5600615
-80.0,-162.0,12.0,5.4922814
-80.0,-160.0,12.0,5.43614
-80.0,-158.0,12.0,5.5307508
-80.0,-156.0,12.0,5.48799
-80.0,-154.0,12.0,5.3097043
-80.0,-152.0,12.0,5.3453503
-80.0,-150.0,12.0,5.4325633
-80.0,-148.0,12.0,5.3687253
-80.0,-146.0,12.0,5.225132
-80.0,-144.0,12.0,5.247502
-80.0,-142.0,12.0,5.3736286
-80.0,-140.0,12.0,5.4594107
-80.0,-138.0,12.0,5.5825806
-80.0,-136.0,12.0,5.53292
-80.0,-134.0,12.0,5.316074
-80.0,-132.0,12.0,5.2815537
-80.0,-130.0,12.0,5.43819
-80.0,-128.0,12.0,5.59222
-80.0,-126.0,12.0,5.4829726
-80.0,-124.0,12.0,5.3727922
-80.0,-122.0,12.0,5.295211
-80.0,-120.0,12.0,5.4279904
-80.0,-118.0,12.0,5.451734
-80.0,-116.0,12.0,5.254548
-80.0,-114.0,12.0,5.2462077
-80.0,-112.0,12.0,5.385135
-80.0,-110.0,12.0,5.436428
-80.0,-108.0,12.0,5.342333
-80.0,-106.0,12.0,5.380727
-80.0,-104.0,12.0,5.5243125
-80.0,-102.0,12.0,5.3976865
-80.0,-100.0,12.0,5.4134936
-80.0,-98.0,12.0,5.6992807
-80.0,-96.0,12.0,5.7887216
-80.0,-94.0,12.0,5.505183
-80.0,-92.0,12.0,5.3780327
-80.0,-90.0,12.0,5.4223614
-80.0,-88.0,12.0,5.293278
-80.0,-86.0,12.0,5.2458057
-80.0,-84.0,12.0,5.3334084
-80.0,-82.0,12.0,5.6124415
-80.0,-80.0,12.0,5.4415703
-80.0,-78.0,12.0,5.334588
-80.0,-76.0,12.0,5.4203196
-80.0,-74.0,12.0,5.3707995
-80.0,-72.0,12.0,5.3392463
-80.0,-70.0,12.0,5.4381256
-80.0,-68.0,12.0,5.6101627
-80.0,-66.0,12.0,5.5646214
-80.0,-64.0,12.0,5.410555
-80.0,-62.0,12.0,5.2399745
-80.0,-60.0,12.0,5.4426055
-80.0,-58.0,12.0,5.300886
-80.0,-56.0,12.0,4.9642825
-80.0,-54.0,12.0,4.950362
-80.0,-52.0,12.0,5.24216
-80.0,-50.0,12.0,5.4360843
-80.0,-48.0,12.0,5.3043275
-80.0,-46.0,12.0,5.1621037
-80.0,-44.0,12.0,5.1972528
-80.0,-42.0,12.0,5.2987823
-80.0,-40.0,12.0,5.440424
-80.0,-38.0,12.0,5.5419245
-80.0,-36.0,12.0,5.3669734
-80.0,-34.0,12.0,5.191365
-80.0,-32.0,12.0,5.243412
-80.0,-30.0,12.0,5.4546423
-80.0,-28.0,12.0,5.745728
-80.0,-26.0,12.0,5.783797
-80.0,-24.0,12.0,5.683233
-80.0,-22.0,12.0,5.5484548
-80.0,-20.0,12.0,5.4384117
-80.0,-18.0,12.0,5.463504
-80.0,-16.0,12.0,5.486635
-80.0,-14.0,12.0,5.402301
-80.0,-12.0,12.0,5.3958106
-80.0,-10.0,12.0,5.4470057
-80.0,-8.0,12.0,5.4242725
-80.0,-6.0,12.0,5.501416
-80.0,-4.0,12.0,5.6111846
-80.0,-2.0,12.0,5.6148057
-80.0,0.0,12.0,5.455009
-80.0,2.0,12.0,5.53386
-80.0,4.0,12.0,5.3831615
-80.0,6.0,12.0,5.2705956
-80.0,8.0,12.0,5.3482714
-80.0,10.0,12.0,5.447526
-80.0,12.0,12.0,5.613552
-80.0,14.0,12.0,5.634868
-80.0,16.0,12.0,5.582603
-80.0,18.0,12.0,5.476568
-80.0,20.0,12.0,5.4346614
-80.0,22.0,12.0,5.531118
-80.0,24.0,12.0,5.8114333
-80.0,26.0,12.0,5.9305215
-80.0,28.0,12.0,5.7713923
-80.0,30.0,12.0,5.438884
-80.0,32.0,12.0,5.237932
-80.0,34.0,12.0,5.081208
-80.0,36.0,12.0,5.1494956
-80.0,38.0,12.0,5.2670217
-80.0,40.0,12.0,5.4352565
-80.0,42.0,12.0,5.4949193
-80.0,44.0,12.0,5.55958
-80.0,46.0,12.0,5.545182
-80.0,48.0,12.0,5.5116816
-80.0,50.0,12.0,5.435489
-80.0,52.0,12.0,5.346428
