source_file,lat_deg,lon_deg,h_km,date,hour,vcr_GV,particle,dose_rate_uSvph,sigma,unit_text,quantity_text
EXAMPLES.ANS,85.0,5.0,9.448800000037796,1998/01/00,0,0.0,TOTAL,4.7168,0.29486,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,85.0,5.0,10.668000000042671,1998/01/00,0,0.0,TOTAL,6.5284,0.40836,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,85.0,5.0,11.887200000047548,1998/01/00,0,0.0,TOTAL,8.5084,0.53531,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,15.0,75.0,9.448800000037796,1998/01/00,0,17.0,TOTAL,1.242,0.079814,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,15.0,75.0,10.668000000042671,1998/01/00,0,17.0,TOTAL,1.6176,0.10141,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,15.0,75.0,11.887200000047548,1998/01/00,0,17.0,TOTAL,1.9574,0.1218,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,85.0,5.0,9.448800000037796,2002/01/00,0,0.0,TOTAL,3.4341,0.20349,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,85.0,5.0,10.668000000042671,2002/01/00,0,0.0,TOTAL,4.6819,0.27564,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,85.0,5.0,11.887200000047548,2002/01/00,0,0.0,TOTAL,6.0083,0.35337,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,15.0,75.0,9.448800000037796,2002/01/00,0,17.01,TOTAL,1.1801,0.073342,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,15.0,75.0,10.668000000042671,2002/01/00,0,17.01,TOTAL,1.5386,0.093138,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,15.0,75.0,11.887200000047548,2002/01/00,0,17.01,TOTAL,1.8617,0.11178,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,9.144000000036575,1965/08/03,0,0.5,TOTAL,4.3441,0.2722,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,10.668000000042671,1965/08/03,0,0.5,TOTAL,6.617,0.41331,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,12.192000000048768,1965/08/03,0,0.5,TOTAL,9.1537,0.57565,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,13.716000000054864,1965/08/03,0,0.5,TOTAL,11.747,0.74127,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,15.24000000006096,1965/08/03,0,0.5,TOTAL,14.401,0.89765,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,16.764000000067057,1965/08/03,0,0.5,TOTAL,17.278,1.0508,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,18.28800000007315,1965/08/03,0,0.5,TOTAL,20.283,1.1974,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,19.812000000079248,1965/08/03,0,0.5,TOTAL,23.115,1.3294,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,21.336000000085342,1965/08/03,0,0.5,TOTAL,26.047,1.4485,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
EXAMPLES.ANS,64.665,-147.09667,24.384000000097537,1965/08/03,0,0.5,TOTAL,33.431,1.7069,microSv/hr,ICRU AMBIENT DOSE EQ. H(*10)
